Elapsed Time (s),Phase,Duration (s)
1.336,Inhale,1.234
2.57,Exhale,1.233
3.803,Inhale,1.439
5.242,Exhale,1.438
6.783,Inhale,1.336
8.119,Exhale,1.336
9.455,Inhale,1.747
11.202,Exhale,1.747
12.847,Inhale,0.77
13.617,Exhale,0.771
14.388,Inhale,1.593
15.981,Exhale,1.593
19.63,Inhale,0.822
20.452,Exhale,0.822
21.274,Inhale,2.261
23.535,Exhale,2.261
25.796,Inhale,1.439
27.235,Exhale,1.439
28.674,Inhale,1.438
30.112,Exhale,1.439
31.551,Inhale,1.85
33.401,Exhale,1.85
41.623,Inhale,1.593
43.216,Exhale,1.593
46.864,Inhale,1.439
48.303,Exhale,1.439
50.05,Inhale,3.134
53.184,Exhale,3.135
56.217,Inhale,1.541
57.758,Exhale,1.542
59.3,Inhale,1.181
60.481,Exhale,1.182
61.663,Inhale,0.617
62.28,Exhale,0.617
